id,question,answerable,expected_chunk_ids,retrieved_chunk_ids,top_score,retrieval_hit
1,送測需要幾台樣品？,True,"[1, 2]","[1, 0, 2]",0.7864,True
2,送測前要準備哪些資料？,True,"[0, 1]","[1, 0, 2]",0.8363,True
3,客戶資料沒準備完整要怎麼處理？,True,"[2, 3]","[1, 2, 0]",0.7213,True
4,測試完成後結果記錄在哪？,True,"[2, 3]","[2, 1, 0]",0.7411,True
5,EMC 是什麼？,True,[0],"[0, 2, 1]",0.7381,True
6,EMC 測試費用是多少？,False,[],"[0, 1, 2]",0.7286,
7,測試大概需要幾天？,False,[],"[2, 1, 0]",0.7067,
8,公司負責人是誰？,False,[],"[2, 1, 0]",0.6117,
9,今天晚上吃什麼？,False,[],"[2, 0, 1]",0.5862,
10,如果產品資料缺漏，要通知誰？,True,"[2, 3]","[1, 2, 0]",0.6879,True
